년,시도,시군,일별처리량,"소재지
(도로명 주소 및 지번주소 병기)",시설용량(톤/일)(A),유입BOD(mg/L)평균,방류BOD(mg/L)평균,"평균
처리효율
(%)",유입COD(mg/L)평균,방류COD(mg/L)평균,유입SS(mg/L)평균,방류SS(mg/L)평균,유입T-N(mg/L)평균,방류T-N(mg/L)평균,유입T-P(mg/L)평균,방류T-P(mg/L)평균,유입대장균군수(개/mL)평균,방류대장균군수(개/mL)평균
2018,경북,환경부,90261.53150684932,"경북 경산시 경안로 497
(경산시 대정동 160)",100000,176.34800295541947,3.650410958904109,0.9792999586174675,103.35453166734744,9.195890410958901,143.4331323693117,3.0356164383561643,40.895759814172266,11.047064383561645,4.380398585776498,0.10213249315068493,91666.51744660942,294.82692307692315
2018,대구,대구시,33642.983561643836,"대구 달서구 달서대로 232
(달서구 대천동 695)",60000,213.5268493150684,1.017808219178082,0.9952333478321675,154.06164383561654,11.317808219178081,188.67178082191788,0.7668493150684926,24.76992156862745,7.333920000000001,0.9974705882352941,0.08893999999999998,591440,190.42
2018,대구,대구시,1278.9452054794522,"대구 달성군 유가면 테크노순환로1길 20
(달성군 유가면 금리 1142-4)",4500,145.07841409691628,0.9436123348017628,0.9934958460865764,96.48465753424654,6.021917808219173,194.6438356164384,0.9594520547945206,39.31027319227341,8.431283738653315,3.8640780570579136,0.01991201672292553,147010.3448275862,107.57758620689656
2018,대구,대구시,1626.7945205479452,"대구 달성군 구지면 달성2차서로 67
(달성군 구지면 내리 837-8)",4500,178.1559452054795,1.298602739726029,0.9927108649771509,99.05948914141129,6.1703178882657,169.95616438356166,1.4726027397260273,30.084377747821012,9.010313524395743,5.363092206288911,0.03005157350188745,164328.76712328766,125.34246575342466
2018,대구,대구시,252.413698630137,"대구시 달성군 논공읍 농공공단1길 57
(달성군 논공읍 금포리 472-3)",1500,328.95416666666665,0.6291666666666667,0.9980873728609608,137.8708333333333,3.5041666666666664,212.625,0.9416666666666664,36.87083333333333,12.041666666666664,5.554124999999999,0.05979166666666666,121764.58333333333,339.0
2018,경북,경주시,102.61388888888891,"경북 경주시 천북면 화산공단길 247-28
(경주시 천북면 화산리 1188-3)",200,185.84583333333333,2.316666666666667,0.9875344707755084,109.02916666666664,5.175,58.80416666666667,1.6291666666666669,46.898875,3.1392916666666664,4.434458333333333,0.06758333333333334,18750,15.0
2018,경북,고령군,1159.825,"경북 고령군 개진면 회천로 338
(경북 고령군 개진면 반운리748)",1650,5.3,1.8525,0.6504716981132076,6.041666666666665,2.721406905076362,28.25333333333333,1.0472570492165127,7.243499999999997,3.414719153686852,0.193,0.07231205231114005,443.3333333333333,82.18181818181819
2018,경북,고령군,3040.167123287671,"경북 고령군 쌍림면 쌍림공단길 3
(경북 고령군 쌍림면 고곡리 199-12 )",3500,80.7333333333333,4.014000000000001,0.950280759702725,77.27083333333333,7.89369863013698,55.67916666666667,2.908219178082195,10.32379166666667,4.18847123287671,1.4338333333333335,0.04839452054794518,자료없음,41.0
2018,경북,고령군,397.9479452054794,"경북 고령군 다산면 다산산단로9
(경북 고령군 다산면 송곡리 1043)",770,290.125,1.5979166666666662,0.9944923165302312,189.3166666666667,4.303492063492065,296.85833333333335,2.8247619047619072,31.207749999999994,7.446711111111117,5.433833333333332,0.09819682539682542,자료없음,4.0
2018,경북,고령군,765.2741935483872,"경북 고령군 개진면 개진산단길 39
(경북 고령군 신안리 27번지)",1000,3765.475,4.975,0.9986787855449843,2528.583333333333,15.46454794520547,731.5833333333335,2.910246575342467,172.60416666666663,9.349687671232877,29.796500000000005,0.06323835616438353,2265783.3333333335,194.91666666666663
2018,경북,구미시,193.09315068493152,"경북 구미시 고아읍 농공단지길 36-28
(구미시 고아읍 오로리 60-33번지)",540,304.5833333333333,1.9677777777777783,0.9935394436844506,220.64166666666668,7.2958333333333325,77.2,4.8375,35.61599999999999,2.4243333333333337,6.442,0.059378640776699035,2031666.6666666667,40.958333333333336
2018,경북,군위군,208.33753424657533,"경북 군위군 군위읍 군위공단길 209일원
(군위군 군위읍 수서리 421-13번지)",1000,614.5416666666666,3.4568627450980407,0.9943748928142686,471.66666666666674,12.410410958904114,618.3333333333334,2.6364383561643825,99.488,10.137473972602741,15.426583333333333,0.02836164383561638,2205.4166666666665,30.04347826086957
2018,경북,군위군,131.2958904109589,"경북 군위군 효령면 경북대로 2656-8
(군위군 효령면 중구리 17번지)",200,3.816666666666667,2.8875,0.2434497816593888,3.875,3.208333333333334,3.8,2.058333333333334,6.0885,6.4929999999999986,0.2988333333333333,0.16070833333333331,1633.3333333333333,22.043478260869566
2018,경북,봉화군,225.11148648648648,"경북 봉화군 봉화읍 1농공단지길88
(봉화군 봉화읍 거촌리 711-4)",350,437.72500000000014,3.4583333333333326,0.9920993013117064,277.2,9.075,223.675,6.2125,39.9315,4.7428333333333335,13.07275,0.3529166666666666,13333.333333333334,556.6666666666666
2018,경북,상주시,335.95342465753424,"경북 상주시 은척면 성주봉로 63
(상주시 은척면 남곡리674번지)",450,39.8,0.4867924528301886,0.9877690338484876,35.92500000000001,2.29811320754717,39.58269230769231,1.3037735849056602,9.449653846153849,4.14,0.8563461538461541,0.03364150943396226,6156.538461538462,3.7924528301886786
2018,경북,상주시,87.50958904109591,경북 상주시 청리면 마공리 1191번지,250,136.12692307692308,2.1696428571428563,0.9840616183183922,102.79615384615386,6.110909090909091,134.2653846153846,3.3428571428571434,29.148461538461536,8.386446428571428,4.324711538461537,0.06605357142857145,48201.92307692308,2.203703703703704
2018,경북,성주군,494.7106741573034,"성주군 성주읍 성주농공단지길 11
(성주군 성주읍 성산리 1447-1)",650,86.44166666666668,8.061458333333336,0.9067410585173046,49.725,15.170000000000005,63.55833333333334,4.834782608695653,12.580083333333334,7.043782608695652,1.0449166666666667,0.08715384615384614,39766.666666666664,54.34782608695652
2018,경북,성주군,898.5333333333333,"성주군 월항면 세종대왕자태실로 13
(월항면 장산리 1555)",3000,52.33,7.299038461538463,0.8605190433491599,46.856,10.866952908587255,38.906,1.4742576177285316,10.050080000000003,4.400897506925209,1.0705200000000004,0.028288088642659238,46412,59.37254901960785
2018,경북,성주군,744.2219178082191,"성주군 성주읍 성주산업단지로1길 46
(성주군 성주읍 예산리 949)",1200,155.98275862068962,1.7875,0.9885404001326408,125.26206896551722,8.63858333333333,159.09565217391304,2.42,36.022105263157904,8.5704875,3.896864864864865,0.025072463768115925,20095.652173913044,54.620689655172406
2018,경북,안동시,2180.980821917808,"경북 안동시 풍산읍 산업단지길 77
(안동시 풍산읍 매곡리 955-1)  ",3000,235.36109589041084,1.5350684931506842,0.9934778154930692,228.79835616438348,9.579452054794524,216.02794520547943,1.7753424657534271,40.171347945205504,3.50095780821918,6.746709589041093,0.06212547945205475,146493.15068493152,26.56438356164384
2018,경북,영양군,69.0,"경북 영양군 일월면 주실1길 57-16
(경북 영양군 일월면 주곡리 576-2)",650,230.89166666666668,2.3708333333333336,0.9897318367199625,111.3375,6.55,128.21249999999998,3.2791666666666663,26.50991666666667,8.543407407407406,4.071208333333334,0.09011111111111116,120650,30.0
2018,경북,영덕군,596.64,경북 영덕군 강구면 금호샛길 81-33,1200,718.9334319526623,1.058579881656806,0.9985275689867674,425.72455621301765,5.460946745562127,317.4587537091989,2.200591715976332,145.9027633136095,9.14815384615384,17.322428994082824,0.10738757396449687,58942.45562130178,41.532544378698226
2018,경북,영천시,129.03835616438357,"영천시 고경면 상리공단길22
(상리리 600-13)",200,102.07083333333333,5.241666666666668,0.948646773074254,203.38333333333333,10.466666666666667,51.20833333333334,5.4625,87.42879166666668,8.530041666666664,4.536833333333333,0.08295833333333333,7512.083333333333,1469.5652173913047
2018,경북,영천시,1001.3361111111113,"영천시 동강포길 25-5
(도남동 710)",2400,85.27195121951222,1.6488663967611352,0.9806634377051308,64.76938775510203,9.449593495934954,202.5061224489796,3.2117886178861816,26.184836734693874,11.066272357723577,5.55913877551021,0.13305284552845525,274069.4560669456,26.10833333333333
2018,경북,예천군,316.4931506849315,"예천군 예천읍 농공단지길 53
(예천군 예천읍 지내리 311-9)",450,541.5897810218977,4.407352941176471,0.991862193313802,277.2834532374102,24.02014388489207,732.7287769784172,4.458992805755393,39.79787769784173,3.5359496402877717,6.5371582733812925,0.24992805755395675,72478.49462365592,60.634408602150536
2018,경북,예천군,180.172602739726,"경북 예천군 보문면 노트기길 16
(예천군 보문면 승본리 595)",400,475.80441176470595,4.8116538461538445,0.9898873282231496,263.58137254901976,21.91826923076923,404.19705882352935,6.9394230769230765,31.315,3.5091826923076925,10.099196078431373,0.27235576923076915,63656.25,91.425
2018,경북,청도군,238.56703910614524,"경북 청도군 풍각면 봉기1길 52-11
(청도군 풍각면 봉기리 1104)",600,179.41666666666663,2.0416666666666665,0.9886205294937296,101.33333333333331,9.975,173.78333333333333,1.866666666666667,15.070333333333336,4.1477499999999985,1.325416666666667,0.018942307692307668,36118.333333333336,32.041666666666664
2018,경북,칠곡군,100.42712328767117,"경북 칠곡군 기산면 주산로 1021
(칠곡군 기산면 영리 255-1)",400,175.86666666666665,1.429166666666667,0.9918735784685369,166.47500000000005,3.6791666666666667,83.75833333333334,5.044791666666666,22.094541666666668,8.297416666666667,2.45,0.032458333333333346,121875,56.625
2018,경북,포항시,52.657370517928285,"경북 포항 시북구 동해대로2315번길 14-8
(포항시 청하면 하대리 547-1)",350,252.84583333333333,3.0375,0.9879867508198342,195.18750000000003,13.3125,226.7541666666667,3.3166666666666664,34.39479166666666,4.505083333333333,2.967541666666667,0.2252083333333333,925961.25,358.29166666666674
2018,전북,군산시,30083.13150684932,"군산시 외항로 1350
(비응도동 21)",43000,48.00602739726028,2.449589041095892,0.9489733024391914,94.27945205479452,14.06383561643834,156.96082191780826,3.106849315068489,22.24133698630137,6.1324684931506885,4.377821917808221,0.3922520547945208,127361.64383561644,30.0
2018,전북,군산시,185.2164383561644,"군산시 서수면 상장곤윗길 42
(마룡리 93-18)",300,345.16666666666674,3.0124999999999997,0.9912723322066634,290.5708333333333,5.075,88.46249999999998,1.3916666666666666,106.88333333333334,17.558333333333334,5.11575,0.11187500000000004,7555.833333333333,6.333333333333332
2018,전북,부안군,3270.7315068493153,부안군 행안면 옥여길 32-14,5100,273.74022222222203,3.1858044444444436,0.9883619425067236,248.45929515418487,17.999999999999982,534.2731277533039,4.9301369863013695,161.04974336283178,21.44777808219179,8.545366814159289,0.04381917808219176,19260,3.125
2018,전북,환경부,20424.01917808219,"익산시 금강동 316번지
(익산시 하나로2길 16)",30000,120.74493150684944,3.870520547945204,0.967944654076634,115.69375342465747,12.256136986301366,124.12008219178075,3.827397260273973,29.66593945205481,7.196499452054793,3.7888386301369863,0.07150794520547936,139235.8904109589,20.132876712328766
2018,전북,익산시,429.1835616438356,"익산시황등면석재단지길91-39
(황등면율촌리876)",6000,6.325,3.108333333333334,0.5085638998682476,7.612499999999998,4.216666666666668,502.8,4.270833333333333,10.570833333333336,2.733333333333334,1.68775,0.026894736842105263,20.416666666666668,4.090909090909091
2018,전북,익산시,170.80821917808217,"익산시 왕궁면 광암리 1381번지
(익산시 왕궁면 왕궁농공단지길 67)",250,118.59809523809518,2.8640952380952376,0.975850411152512,113.26761904761904,6.366666666666666,115.8,3.180000000000001,31.401,7.959,3.4560000000000004,0.064,41970.89552238806,0.05597014925373135
2018,전북,익산시,665.5698630136986,전북 익산시 낭산면 산단구평길 143-46,5500,104.68687782805428,1.0891402714932124,0.9895962102023704,113.26761904761904,12.04571428571429,113.38164251207728,2.1149758454106267,18.55841826923076,9.891922705314009,1.9238899521531088,0.0811153846153846,20823.834196891192,0.0
2018,전북,완주군,11935.33698630137,"완주군 삼례읍 후상제방길 62
(후정리 184)",18000,95.68936170212768,1.2191489361702128,0.9872593053764396,70.6531914893617,9.453424657534246,122.6808510638298,1.2438356164383566,26.97333333333333,6.912676712328775,1.7333744680851062,0.038827397260274,123744.44444444444,79.33500000000002
2018,전북,전주시,15.054794520547945,"전주시 완산구 정여립로 655-5
(전주시 완산구 상림동 산188)",230,216.63333333333333,2.9125,0.9865556239421448,234.65416666666667,4.429166666666667,86.91874999999997,1.85,22.795833333333334,2.904166666666667,1.7214166666666668,0.0553913043478261,68161.73913043478,11.0
2018,전북,정읍시,332.5,"정읍시 신태인읍 석지로 633
(정읍시 신태인읍 신용리 1371번지)",600,76.54829166666667,3.907083333333333,0.9489592354281802,95.9495,9.547708333333334,128.67916666666667,3.109375,52.73416666666666,13.881666666666668,14.960499999999994,0.07604166666666666,238.33333333333334,35.625
2018,제주,제주시,10.0,제주특별자치도 제주시 한림읍 협재리 산 1-10,12,115.6,9.6,91.7,82.7,19.4,138.4,23.7,45.70399999999999,29.589000000000002,5.547999999999999,2.26,57583.0,136.0
2018,제주,제주시,12.0,제주특별자치도 제주시 애월읍 유수암리 1043-3,16,108.5,3.9,96.4,52.7,6.1,135.4,3.9,30.81,14.965,4.333,2.1790000000000003,447.0,40.0
2018,제주,제주시,13.0,제주특별자치도 제주시 한림읍 협재리 산 1-10,30,98.8,3.0,97.0,113.4,6.3,184.5,4.5,11.984000000000002,7.914,2.694,1.195,625.0,81.0
2018,제주,제주시,26.0,제주특별자치도 제주시 한림읍 월림리 291-8,35,83.3,2.8,96.6,37.3,5.1,130.8,3.8,9.72,4.401,1.984,0.807,442.0,42.0
2018,제주,제주시,10.0,제주특별자치도 제주시 한림읍 금악리 3453,40,99.4,3.5,96.5,48.4,5.6,177.6,3.4,11.305,2.489,2.7060000000000004,0.988,562.0,64.0
2018,제주,제주시,33.0,제주특별자치도 제주시 우도면 연평리 2353-1,40,79.2,16.6,79.0,56.5,21.9,132.9,24.1,19.834,12.46,2.064,1.4509999999999998,60416.0,158.0
2018,제주,제주시,38.0,제주특별자치도 제주시 추자면 예초리 191-2,45,114.1,13.5,88.2,62.0,14.2,62.7,28.9,35.096,11.734000000000002,3.889,1.1340000000000001,137818.0,292.0
2018,제주,제주시,37.0,제주특별자치도 제주시 우도면 연평리 1787-1,45,104.3,13.9,86.7,58.1,36.8,112.0,40.3,25.479,13.850999999999999,2.654,1.5859999999999999,55500.0,122.0
2018,제주,제주시,24.0,제주특별자치도 제주시 우도면 연평리 674,45,129.5,18.2,85.9,57.1,25.0,127.3,17.7,44.715,30.122,4.359,2.895,57583.0,50.0
2018,제주,제주시,55.0,제주특별자치도 제주시 우도면 연평리 290-10,60,91.7,15.3,83.3,44.8,12.9,72.7,12.9,28.913,15.402000000000001,4.519,2.3930000000000002,74902.0,316.0
2018,제주,제주시,82.0,제주특별자치도 제주시 추자면 묵리 729,100,139.6,7.4,94.7,65.9,9.6,119.8,11.1,44.253,18.902,6.287999999999999,2.8110000000000004,109808.0,627.0
2018,제주,제주시,51.0,제주특별자치도 제주시 우도면 연평리 2589-1,100,162.6,14.3,91.2,63.4,12.6,116.6,11.4,41.34,15.241,5.936,3.471,119074.0,713.0
2018,제주,제주시,48.0,제주특별자치도 제주시 우도면 연평리 2430-4,100,157.6,17.7,88.8,78.3,16.7,136.8,27.7,51.167,17.34,6.952999999999999,2.096,136297.0,492.0
2018,제주,제주시,87.0,제주특별자치도 제주시 추자면 신양리 560-2,100,123.2,16.6,86.5,61.5,15.8,105.6,23.3,36.13,20.236,5.042,2.472,118404.0,1115.0
2018,제주,제주시,83.0,제주특별자치도 제주시 추자면 영흥리 7-12,100,194.0,15.0,92.3,85.4,14.8,177.7,36.8,45.14,16.811,6.468999999999999,1.913,143468.0,706.0
2018,제주,제주시,213.0,제주특별자치도 제주시 추자면 대서리 2,300,214.8,10.1,95.3,90.8,11.6,202.4,12.9,48.733999999999995,14.314,171.62900000000002,3.7960000000000003,132042.0,883.0
2018,제주,제주시,9386.8,제주특별자치도 제주시 월정서로 162   ,12000,184.8,3.3,98.2,75.9,8.2,155.9,1.2,37.201,9.362,3.888,1.14,67273.0,47.0
2018,제주,제주시,23840.7,제주특별자치도 제주시 한경면 판포리 1608 ,24000,196.8,6.6,96.6,102.5,9.1,248.6,3.6,37.731,9.519,3.665,0.998,113520.0,399.0
2018,제주,제주시,129858.2,제주특별자치도 제주시 도두이동 849 ,130000,340.6,8.3,97.6,111.9,11.8,303.4,8.4,61.211000000000006,10.29,7.324,0.647,272509.0,278.0
2018,제주,서귀포시,5.9,제주특별자치도 서귀포시 안덕면 상천리 산105,10,99.4,6.4,93.6,50.6,14.0,91.0,6.1,34.105,18.246,3.2969999999999997,1.875,63307.0,524.0
2018,제주,서귀포시,23.0,제주특별자치도 서귀포시 표선면 가시리 3802,23,81.1,3.3,95.9,49.1,14.4,44.8,3.4,36.169000000000004,21.949,4.275,2.8560000000000003,24758.0,645.0
2018,제주,서귀포시,25.0,제주특별자치도 서귀포시 표선면 중산간동로 5220번길 56,25,93.7,3.6,96.2,55.8,13.5,87.2,2.9,40.696999999999996,27.753,3.779,2.149,76800.0,320.0
2018,제주,서귀포시,21.0,제주특별자치도 서귀포시 남원읍 위미리 1051-4,30,64.6,4.7,92.7,41.0,12.5,39.6,5.1,36.631,15.189,3.385,1.462,26666.0,406.0
2018,제주,서귀포시,20.0,제주특별자치도 서귀포시 남원읍 한신로 185번길 98-25,30,73.8,4.0,94.6,46.8,12.2,55.8,4.7,37.727,14.453,3.9560000000000004,1.527,32850.0,446.0
2018,제주,서귀포시,30.0,제주특별자치도 서귀포시 남원읍 남원리 867,40,43.4,2.6,94.0,23.9,8.8,34.8,4.5,39.137,21.051,2.4419999999999997,1.629,21700.0,395.0
2018,제주,서귀포시,30.0,제주특별자치도 서귀포시 남원읍 신흥리 2482,45,72.2,4.0,94.5,45.1,12.6,596.9,5.9,34.679,15.286,4.654,1.41,19591.0,515.0
2018,제주,서귀포시,44.1,제주특별자치도 서귀포시 대정읍 무릉리 1251-6,50,93.9,6.6,93.0,48.3,14.0,93.1,6.4,32.527,17.464000000000002,3.216,1.73,61604.0,533.0
2018,제주,서귀포시,52.9,제주특별자치도 서귀포시 대정읍 무릉리 1811-4,60,91.0,6.1,93.3,46.3,13.1,84.2,5.6,32.082,17.074,3.235,1.735,62229.0,497.0
2018,제주,서귀포시,40.0,제주특별자치도 서귀포시 남원읍 수망리 1090,70,111.6,4.4,96.1,59.6,14.8,84.5,3.8,41.79600000000001,13.765999999999998,4.605,1.445,45718.0,476.0
2018,제주,서귀포시,64.3,제주특별자치도 서귀포시 대정읍 가파리 684,80,100.8,5.6,94.4,51.3,12.3,107.5,4.9,33.735,14.024000000000001,3.3480000000000003,1.4669999999999999,62333.0,514.0
2018,제주,서귀포시,60.6,제주특별자치도 서귀포시 표선면 세화리 1808-5,80,121.5,4.6,96.2,67.4,15.8,120.7,4.8,44.633,14.128,5.167999999999999,1.48,54900.0,521.0
2018,제주,서귀포시,62.6,제주특별자치도 서귀포시 대정읍 신평리 1252-1,90,87.2,6.1,93.0,45.6,13.2,77.3,5.9,31.791999999999998,16.961,3.19,1.7380000000000002,58540.0,513.0
2018,제주,서귀포시,54.6,제주특별자치도 서귀포시 대정읍 가파리 533-1,120,96.0,5.7,94.1,49.7,12.5,91.7,5.1,31.854,15.859000000000002,3.218,1.545,71687.0,471.0
2018,제주,서귀포시,41.6,제주특별자치도 서귀포시 표선면 서성일로 22,120,109.0,4.0,96.3,58.1,18.4,98.4,5.1,38.657,15.390999999999998,4.571000000000001,1.485,38302.0,457.0
2018,제주,서귀포시,145.0,제주특별자치도 서귀포시 안덕면 난드르로 21번길 31,150,91.7,6.2,93.2,47.3,14.1,87.1,6.1,32.529,17.569000000000003,3.25,1.7109999999999999,61250.0,556.0
2018,제주,서귀포시,7123.6,제주특별자치도 서귀포시 태신해안로 39   남원하수처리장,8000,129.2,3.1,97.6,82.9,16.0,167.9,2.2,36.349000000000004,7.3839999999999995,4.135,1.147,48254.0,464.0
2018,제주,서귀포시,5477.2,제주특별자치도 서귀포시 고성동서로 115   ,10000,185.2,3.5,98.1,80.1,16.2,165.2,2.9,33.046,6.267,5.853,1.028,318762.0,50.0
2018,제주,서귀포시,12227.9,제주특별자치도 서귀포시 대정읍 하모리 125 ,13000,95.4,4.5,95.3,45.0,10.4,111.2,3.1,27.197,4.913,2.87,0.98,244687.0,463.0
